"tod","Late","Exposed","Infected","cosFull","sinFull","cosHalf","sinHalf","group","Fish_id","dwellTime1","dwellTime2","dwellTime3"
86,"0",0,0,0.930417567982025,0.366501226724297,0.731353701619171,0.681998360062498,"1","F",8.13103652051313,7.16743629581606,6.53037815330504
87,"0",0,0,0.928809552871924,0.370557437509836,0.725374371012288,0.688354575693754,"1","F",8.12975397028708,7.16156768887799,6.53109787658468
88,"0",0,0,0.927183854566787,0.374606593415912,0.719339800338651,0.694658370458997,"1","F",8.12849344163237,7.15580871792372,6.53184686705617
89,"0",0,0,0.925540504017566,0.378648617352433,0.713250449154182,0.700909264299851,"1","F",8.12725494833148,7.15015920279097,6.53262512484457
90,"0",0,0,0.923879532511287,0.38268343236509,0.707106781186548,0.707106781186547,"1","F",8.12603850394248,7.14461896706439,6.53343264997397
91,"0",0,0,0.922200971670452,0.386710961636821,0.700909264299851,0.713250449154182,"1","F",8.12484412180061,7.13918783807776,6.53426944236753
92,"0",0,0,0.92050485345244,0.390731128489274,0.694658370458997,0.719339800338651,"1","F",8.12367181501713,7.13386564691791,6.53513550184562
93,"0",0,0,0.918791210148898,0.394743856384267,0.688354575693754,0.725374371012288,"1","F",8.12252159648142,7.12865222842925,6.53603082812697
94,"0",0,0,0.917060074385124,0.398749068925246,0.681998360062498,0.73135370161917,"1","F",8.12139347885932,7.12354742121647,6.53695542082619
95,"0",0,0,0.915311479119447,0.402746689858737,0.67559020761566,0.737277336810124,"1","F",8.12028747459567,7.11855106764847,6.53790927945442
96,"0",0,0,0.913545457642601,0.4067366430758,0.669130606358858,0.743144825477394,"1","F",8.11920359591272,7.1136630138617,6.53889240341755
97,"0",0,0,0.911762043577089,0.410718852613477,0.662620048215738,0.748955720789002,"1","F",8.11814185481217,7.10888310976452,6.53990479201639
98,"0",0,0,0.909961270876543,0.414693242656239,0.656059028990507,0.754709580222772,"1","F",8.117102263074,7.10421120904039,6.54094644444535
99,"0",0,0,0.908143173825081,0.418659737537428,0.649448048330184,0.760405965600031,"1","F",8.11608483225791,7.09964716915101,6.542017359792
100,"0",0,0,0.90630778703665,0.422618261740699,0.642787609686539,0.766044443118978,"1","F",8.11508957370302,7.09519085134116,6.54311753703587
101,"0",0,0,0.904455145454368,0.426568739901458,0.636078220277764,0.77162458338772,"1","F",8.11411649852857,7.09084212064158,6.5442469750476
102,"0",0,0,0.902585284349861,0.430511096808295,0.629320391049838,0.777145961456971,"1","F",8.11316561763374,7.08660084587314,6.54540567258869
103,"0",0,0,0.900698239322588,0.434445257404417,0.62251463663762,0.782608156852414,"1","F",8.11223694169871,7.08246689965017,6.54659362831035
104,"0",0,0,0.898794046299167,0.438371146789077,0.615661475325658,0.788010753606722,"1","F",8.11133048118404,7.07844015838396,6.54781084075194
