"tod","dstate1","dstate2","dstate3","lci1","lci2","lci3","uci1","uci2","uci3","group"
1004,8.80721305317866,34.0349878138493,4.71051578220295,5.25395610522608,22.9854632065821,3.5907355853609,16.0995239061672,50.0082901443267,7.24485809525375,5
1005,8.8209541395604,34.0195348002028,4.71646750517175,5.26600235307262,22.9715299650983,3.59430000326075,16.1267464289514,49.9696802568982,7.25726449329789,5
1006,8.83471642504151,34.0037762914023,4.72246210440471,5.27809129750157,22.957417107013,3.59789454980586,16.1539863708224,49.9305172856846,7.26973607734169,5
1007,8.848499662309,33.9877126384333,4.72849964530701,5.2902228707855,22.9431251366495,3.60151927041824,16.1812429909614,49.8908029539187,7.28227290257237,5
1008,8.86230360216109,33.971344203153,4.73458019334316,5.30239700299937,22.9283031001742,3.6051742106968,16.2085155446445,49.8505390064245,7.29487502325188,5
1009,8.876127993507,33.9546713582711,4.74070381402885,5.31461362199993,22.913157983873,3.60885941641309,16.2358032832752,49.8097272094785,7.30754249269826,5
1010,8.88997258336553,33.9376944873345,4.74687057292249,5.32687265340825,22.8978418787629,3.61257493350727,16.2631054544168,49.7683693506703,7.32027536326642,5
1011,8.90383711686445,33.9204139847077,4.75308053561912,5.33917402058941,22.8823553160823,3.61632080808333,16.290421301827,49.7264672387627,7.33307368632975,5
1012,8.91772133724089,33.9028302555557,4.75933376774015,5.35151764463315,22.8666988326354,3.62009708640543,16.3177500654915,49.6840227035514,7.34593751226077,5
1013,8.93162498583911,33.8849437158246,4.76563033492766,5.36390344433562,22.850872970749,3.62390381489267,16.3450909816597,49.6410375957229,7.35760298066732,5
1014,8.94554780211183,33.866754792223,4.77197030283401,5.37633133618019,22.8348782782316,3.62774104011521,16.3724457185337,49.5975137867132,7.36871808409838,5
1015,8.95948952361982,33.848263922202,4.77835373711537,5.38880123431714,22.8187153083307,3.63160880878922,16.4005889333671,49.5485653654419,7.37989659231141,5
1016,8.97344988603163,33.8294715539362,4.78478070342248,5.40131305054653,22.8023846196906,3.63550716777286,16.428739203531,49.498294324706,7.3911385586656,5
1017,8.98742862312406,33.8103781463024,4.79125126739268,5.41386669429749,22.7867213847617,3.63943616406127,16.4568957035211,49.4475110321569,7.40244403587539,5
1018,9.00142546678239,33.7909841688604,4.79776549464123,5.42646207261052,22.7831692305539,3.64339584478183,16.4850576041437,49.3962173311407,7.41381307599541,5
1019,9.01544014700175,33.7712901018306,4.80432345075292,5.43909909011784,22.77940519896,3.64738625718962,16.5132240725581,49.3444150841305,7.42524573040439,5
1020,9.02947239188666,33.751296436074,4.81092520127322,5.45177764902489,22.7754292632187,3.65140744866259,16.5413942723205,49.2921061726134,7.43674204979022,5
1021,9.04352192765282,33.7310036730689,4.81757081170008,5.46449764909118,22.771241403846,3.65545946669656,16.569567363429,49.2392924969788,7.4483020841336,5
1022,9.0575884786283,33.7104123248905,4.82426034747414,5.47725898761213,22.766841608631,3.65954235890064,16.5977425023678,49.1859759764041,7.45992588269227,5
1023,9.07167176725443,33.6895229141878,4.83099387397124,5.49006155939949,22.7618319326622,3.66365617299168,16.6259188421536,49.1321585487409,7.47161349398525,5
1024,9.08577151408667,33.6683359741603,4.83777145649196,5.50290525676389,22.7561843375604,3.66780095678999,16.6540955323812,49.0778421704015,7.48336496577664,5
1025,9.09988743779809,33.6468520485355,4.84459316025368,5.51578996949475,22.7503229605858,3.67197675821369,16.6822717192716,49.0230288162428,7.49518034505941,5
1026,9.11401925517885,33.6250716915454,4.85145905038098,5.52871558484321,22.7442478790998,3.67618362527401,16.7104465457186,48.9677204794509,7.50705967803861,5
1027,9.12816668113987,33.602995467902,4.85836919189637,5.54168198750269,22.7379591779062,3.68042160606969,16.7386191513379,48.9119191714258,7.5190030101162,5
1028,9.14232942871467,33.580623952774,4.8653236497114,5.55468905959115,22.7314569492392,3.6846907487822,16.7667886725151,48.8556269216636,7.53101038587284,5
1029,9.15650720906069,33.5579577317621,4.87232248861642,5.56773668063248,22.7247412927515,3.68899110166993,16.7949542424566,48.7988457776398,7.5430818490528,5
1030,9.17069973146363,33.5349974008732,4.87936577327218,5.58082472753811,22.7178123155019,3.69332271306359,16.8231149912384,48.7415778046924,7.55521744254606,5
1031,9.18490670333813,33.5117435664963,4.88645356819916,5.59395307458923,22.7106701319432,3.69768563135987,16.8512700458574,48.6838250859022,7.56741720837197,5
1032,9.19912783023233,33.4881968453765,4.89358593776865,5.6071215934188,22.7033148639086,3.70207990501682,16.8794185302836,48.6255897219752,7.57968118766217,5
1033,9.21336281582967,33.4643578645889,4.9007629461928,5.62033015299308,22.6957466405999,3.70650558254775,16.9075595655106,48.5668738311228,7.59200942064349,5
1034,9.22761136195322,33.440227261513,4.90798465751459,5.63357861959439,22.6879655985736,3.71096271251628,16.9356922696094,48.5076795489424,7.60440194662105,5
1035,9.24187316856842,33.4158056838057,4.91525113559806,5.64686685680265,22.6731906362093,3.71545134352993,16.963815757781,48.4480090282968,7.61685880396006,5
1036,9.25614793378691,33.3910937893741,4.92256244411874,5.66019472547844,22.6546734298034,3.71997152423493,16.9919291424107,48.3879067320509,7.62938003006927,5
1037,9.27043535387043,33.3660922463494,4.92991864655232,5.67356208374491,22.6359639680747,3.7245233033106,17.0200315331219,48.3275564198861,7.64196566138348,5
1038,9.28473512323444,33.3408017330582,4.93731980616576,5.68696878697043,22.6170629602655,3.72910672946305,17.0481220368311,48.2667250176132,7.65461573334536,5
1039,9.29904693445314,33.3152229379955,4.9447659860059,5.70041468775162,22.597971122151,3.73418698004476,17.0761997578036,48.2054147956016,7.66733028038789,5
1040,9.31337047826287,33.289356559796,4.95225724889042,5.71389963589527,22.5786891759879,3.73968430137759,17.1042637977098,48.1436280415815,7.68010933591669,5
1041,9.32770544356731,33.2632033072059,4.95979365739595,5.72742347840245,22.5592178504618,3.74521977430158,17.1323132556812,48.0813670605122,7.69295293229162,5
1042,9.34205151744231,33.2367638990545,4.96737527384789,5.74098605944992,22.539557880636,3.75079348716251,17.1603472283679,48.0186341744507,7.70586110080974,5
1043,9.35640838514087,33.210039064224,4.97500216031062,5.75458722037514,22.5197100078978,3.75640552847873,17.188364809996,47.9554317224197,7.71883387168586,5
1044,9.37077573009742,33.1830295416214,4.98267437857589,5.76822679965791,22.4996749799071,3.76205598693387,17.2163650924265,47.8917620602747,7.73187127403501,5
1045,9.38515323393449,33.1557360801478,4.99039199015192,5.78190463290443,22.4794535505434,3.76774495136787,17.244347165213,47.8276275605715,7.74497333585407,5
1046,9.39954057646742,33.1281594386689,4.99815505625315,5.79562055283133,22.4590464798524,3.77347251077075,17.2723101156618,47.7630306124324,7.75814008400321,5
1047,9.41393743571052,33.1003003859848,5.00596363778868,5.80937438924819,22.4384545339941,3.77923875427425,17.300253028891,47.6979736214118,7.77137154418653,5
1048,9.42834348788301,33.0721597007987,5.01381779535086,5.82316596904254,22.4176784851885,3.78504377114369,17.3281749878915,47.6324590093626,7.78466774093508,5
